1,2,441405
2,1,856714
3,6,128593
4,6,919096
5,1,443304
6,10,773151
7,4,161720
8,7,404769
9,2,438412
10,1,926816
11,6,728147
12,9,228759
13,2,777790
14,7,583970
15,5,549940
16,2,668584
17,5,851545
18,7,885694
19,9,627199
20,1,839901
21,10,127873
22,10,966657
23,9,646538
24,9,320264
25,5,882585
26,4,186838
27,1,518801
28,4,649824
29,10,801767
30,1,774893
31,6,831809
32,2,873405
33,6,244220
34,1,201421
35,3,82813
36,8,129046
37,7,463994
38,1,417921
39,9,950083
40,5,372889
41,8,69298
42,5,401708
43,4,760265
44,1,687524
45,7,183002
46,9,395910
47,8,139538
48,5,107371
49,9,567041
50,8,635715
51,5,436733
52,3,97497
53,3,760311
54,2,67056
55,9,857871
56,3,712182
57,2,963980
58,9,571179
59,3,102117
60,8,62347
61,6,486752
62,6,357210
63,2,369840
64,3,190405
65,4,781758
66,8,416335
67,4,454649
68,5,735971
69,2,345009
70,1,744972
71,9,84477
72,7,174994
73,5,907162
74,4,617977
75,2,31677
76,7,149830
77,3,977564
78,7,988426
79,9,120453
80,5,731584
81,9,163869
82,8,152110
83,8,771689
84,1,219363
85,4,619772
86,6,959883
87,8,853953
88,4,840707
89,4,169296
90,9,178474
91,1,467345
92,5,89467
93,1,774306
94,9,616203
95,4,664693
96,2,184320
97,7,687507
98,4,127715
99,10,468185
100,10,782882
101,3,974624
102,7,855993
103,5,371201
104,4,110224
105,6,294392
106,8,625062
107,3,72805
108,1,611988
109,2,702574
110,3,902114
111,1,714982
112,3,321839
113,10,945413
114,9,131217
115,4,359875
116,2,641981
117,9,171363
118,9,101070
119,8,251451
120,5,247715
121,10,81063
122,6,685793
123,9,805857
124,5,107748
125,4,596682
126,7,395875
127,4,887037
128,2,157431
129,2,39582
130,6,75190
131,7,728312
132,2,639236
133,9,162271
134,3,994016
135,4,384508
136,6,554709
137,5,357318
138,7,492382
139,2,191056
140,6,276622
141,1,84469
142,10,747062
143,10,897591
144,4,209665
145,4,233780
146,2,361382
147,3,373097
148,10,632605
149,1,359121
150,7,363625
151,5,866366
152,1,866816
153,6,852344
154,10,942551
155,8,44366
156,4,514355
157,1,60699
158,4,475340
159,9,353332
160,10,817822
161,5,918357
162,2,144858
163,2,751420
164,6,652800
165,2,732316
166,2,918801
167,2,218606
168,2,245196
169,6,425614
170,6,708637
171,3,569721
172,7,563584
173,1,26456
174,10,460038
175,7,76006
176,3,814757
177,3,926791
178,9,408759
179,4,846444
180,1,542332
181,10,678655
182,9,700201
183,2,370534
184,2,365011
185,3,85671
186,1,914422
187,3,674907
188,1,404194
189,7,967805
190,7,715794
191,5,392198
192,2,344959
193,9,665383
194,9,694762
195,2,630226
196,1,160225
197,8,144246
198,9,677949
199,10,668919
200,3,104064
201,4,335324
202,2,295382
203,3,533724
204,3,710645
205,4,61248
206,2,99596
207,1,212067
208,3,115909
209,9,791475
210,8,709385
211,5,480426
212,5,737413
213,6,283649
214,1,981133
215,6,944938
216,3,477822
217,1,767193
218,6,77975
219,7,122224
220,7,733149
221,9,72335
222,1,326877
223,7,853376
224,9,107498
225,5,798951
226,4,520319
227,10,504537
228,5,118375
229,8,942994
230,3,736279
231,7,325063
232,8,685745
233,5,810346
234,8,307578
235,8,506313
236,9,275080
237,7,307121
238,8,364424
239,7,956726
240,7,816420
241,5,490805
242,9,644339
243,9,389956
244,3,752718
245,3,603281
246,6,59928
247,6,666124
248,8,34106
249,4,607818
250,4,709069
251,2,447005
252,8,626770
253,10,888117
254,5,71068
255,4,42928
256,5,997634
257,10,777711
258,9,785360
259,7,576609
260,9,245936
261,9,753874
262,3,861718
263,10,666799
264,9,908275
265,5,413370
266,3,173172
267,3,820591
268,2,163718
269,1,435318
270,1,957255
271,2,654502
272,6,550825
273,10,943326
274,6,118143
275,3,600698
276,7,839814
277,10,843613
278,10,356896
279,2,939055
280,7,630397
281,6,377837
282,8,328844
283,10,248063
284,6,673718
285,7,769779
286,9,541295
287,9,971171
288,7,614365
289,10,526769
290,4,132066
291,10,63488
292,5,418393
293,1,822177
294,1,270208
295,8,794331
296,7,573744
297,8,449543
298,7,702597
299,2,834632
300,4,992677
301,7,960197
302,9,173838
303,3,549833
304,3,154182
305,2,304082
306,4,994755
307,10,88687
308,7,643059
309,8,756502
310,6,822170
311,8,199910
312,5,393247
313,10,620362
314,9,94462
315,4,55149
316,9,138555
317,3,320969
318,2,623762
319,4,897063
320,6,697795
321,7,184089
322,9,157600
323,10,584593
324,8,949875
325,3,754717
326,5,585637
327,1,654870
328,9,107198
329,7,742796
330,5,371393
331,9,955783
332,10,404329
333,2,965820
334,7,668910
335,5,269966
